rowid;categoria;sku;marca;preco;img
37;sorveteria;1496;Selecta Especial Milho Verde 1kg;R$ 20;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53384519/457430a501.jpg
38;sorveteria;670;Saborizante Sorvete Algemix Selecta - Morango Premium 1Kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53357769/d5e4038ced.jpg
39;sorveteria;627;Saborizante Sorvete Algemix Selecta - Goiaba 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53354501/8a62c82aae.jpg
40;sorveteria;642;Saborizante Sorvete Algemix Selecta - Frutas Tropicais 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53354365/4aa066a59b.jpg
41;sorveteria;645;Saborizante Sorvete Algemix Selecta - Doce Leite Gold 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53337020/85fb8b99ec.jpg
42;sorveteria;641;Saborizante Sorvete Algemix Selecta - Coco Queimado 800 gr;R$ 51;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53335977/0089a39374.jpg
43;sorveteria;1522;Saborizante Sorvete Algemix Selecta - Chiclets 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53326855/8345344a6c.jpg
44;sorveteria;638;Saborizante Sorvete Algemix Selecta - Cereja 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53326109/83a37720d0.jpg
45;sorveteria;1474;Saborizante Sorvete Algemix Selecta - Amendoim 1kg;R$ 29;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53317083/1a30322f91.jpg
46;sorveteria;1106;Selecta Real Sabor;R$ 34;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53200288/4697b5b983.jpg
47;sorveteria;665;Selecta Tropical Uva 1Kg;R$ 31;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53106318/029aca92b9.jpg
48;sorveteria;1487;Selecta Tropical Tangerina 1Kg;R$ 31;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53103654/18d37d2766.jpg
49;sorveteria;659;Selecta Tropical Limão 1Kg;R$ 31;https://cdn.awsli.com.br/300x300/1284/1284671/produto/53085211/c6b141188e.jpg
50;sorveteria;906;Selecta Tropical Cupuaçu 1Kg;R$ 31;https://cdn.awsli.com.br/300x300/1284/1284671/produto/52963019/cd10a1c3da.jpg
51;sorveteria;658;Selecta Tropical Abacaxi 1Kg;R$ 31;https://cdn.awsli.com.br/300x300/1284/1284671/produto/52629353/fee925f42b.jpg
52;sorveteria;2624;Palito de Sorvete Plastico Bioplastic cx com 5.000 Unid;R$ 169;https://cdn.awsli.com.br/300x300/1284/1284671/produto/301540246/palito-pl-stico-2x84ogxnsw.jpg
53;sorveteria;2470;Canudo Waffer Marvi 1Kg;R$ 30;https://cdn.awsli.com.br/300x300/1284/1284671/produto/254066418/biju-01-jzj13t5tnl.JPG
54;sorveteria;2463;Selecta Classic Creme de Avelã 3 KG;R$ 101;https://cdn.awsli.com.br/300x300/1284/1284671/produto/245936628/creme-de-avela-3kg-5u0mc05mzf.jpg
55;sorveteria;151;Fini Bala de Gelatina de Chiclete Melancia 500 G;R$ 21;https://cdn.awsli.com.br/300x300/1284/1284671/produto/98099407/d442b3b23b.jpg
56;sorveteria;1918;Fini Bala de Gelatina Beijos de Morango 500 G;R$ 23;https://cdn.awsli.com.br/300x300/1284/1284671/produto/98098623/2e3f5b8418.jpg
57;sorveteria;1845;Fini Bala de Gelatina Banana 500 G;R$ 23;https://cdn.awsli.com.br/300x300/1284/1284671/produto/98098619/76570f7261.jpg
