cnpj	cnpj_raiz	filial_numero	razao_social	nome_fantasia	data_abertura	situacao_cadastral	logradouro	numero	bairro	municipio	uf	atividade_principal	cnpj_mei	versao
31762912000124	31762912	1	SORVETERIA CORATO LTDA	SORVETERIA PINGUIM	2018-10-15T00:00:00Z	ATIVA	RUA NILO PECANHA	850	JARDIM SAO LUIZ	PIRACICABA	SP	5611203 - Lanchonetes, casas de cha, de sucos e similares	false	v3
52402371000101	52402371	1	L.O. DOS SANTOS SORVETERIA LTDA	PINGUIM SORVETERIA E ACAI	2023-10-03T00:00:00Z	ATIVA	AVENIDA RIO DAS PEDRAS	2312	AGUA BRANCA	PIRACICABA	SP	5611203 - Lanchonetes, casas de cha, de sucos e similares	false	v3
34670517000100	34670517	1	GAIVOTA FOODS INDUSTRIA, COMERCIO E SERVICOS LTDA		2019-08-27T00:00:00Z	ATIVA	AVENIDA POMPEIA	2160	POMPEIA	PIRACICABA	SP	1099602 - Fabricacao de pos alimenticios	false	v3
39235036000190	39235036	1	MANUELLA & MAITE COMERCIO DE SORVETES LTDA		2020-09-29T00:00:00Z	ATIVA	AVENIDA DONA FRANCISCA	333	VILA REZENDE	PIRACICABA	SP	4729699 - Comercio varejista de produtos alimenticios em geral ou especializado em produtos alimenticios nao especificados anteriormente	false	v3
10826622000127	10826622	1	ISMAEL TADEU CAMPEAO	KI SABOR SORVETERIA	2009-05-05T00:00:00Z	ATIVA	AVENIDA BARAO DE VALENCA	983	VILA REZENDE	PIRACICABA	SP	1053800 - Fabricacao de sorvetes e outros gelados comestiveis	false	v3
09216281000199	09216281	1	SORVETERIA MIX BOM LTDA	SORVETERIA MIX BOM	2007-10-30T00:00:00Z	ATIVA	RUA NILO PECANHA	1008	JARDIM SAO LUIZ	PIRACICABA	SP	4721104 - Comercio varejista de doces, balas, bombons e semelhantes	false	v3
34615969000199	34615969	1	LUIS FERNANDO GONZALES		2019-08-21T00:00:00Z	ATIVA	AVENIDA INDEPENDENCIA	3130	ALEMAES	PIRACICABA	SP	4637106 - Comercio atacadista de sorvetes	false	v3
49751520000125	49751520	1	JUJU GOURMET DO CHEF LTDA		2023-02-28T00:00:00Z	ATIVA	RUA SANTA CATARINA	960	AGUA BRANCA	PIRACICABA	SP	4729699 - Comercio varejista de produtos alimenticios em geral ou especializado em produtos alimenticios nao especificados anteriormente	false	v3
55992037000135	55992037	1	ACAITERIA SABOR ROXO LTDA	ACAITERIA SABOR ROXO	2024-07-18T00:00:00Z	ATIVA	AVENIDA BARAO DE VALENCA	592	VILA REZENDE	PIRACICABA	SP	4637106 - Comercio atacadista de sorvetes	false	v3
67700641000120	67700641	1	OSWALDO LIBANIO DE PAULA	SORVETERIA BOM SABOR	1992-03-20T00:00:00Z	ATIVA	RUA CARIJOS	71	PAULICEIA	PIRACICABA	SP	1053800 - Fabricacao de sorvetes e outros gelados comestiveis	false	v3
12022193000403	12022193	4	DAVID VASCONCELOS FUGGI CARDOSO		2020-01-14T00:00:00Z	ATIVA	AVENIDA EDNE RONTANI BASSETE	1789	AGUA BRANCA	PIRACICABA	SP	4637106 - Comercio atacadista de sorvetes	false	v3
12022193000594	12022193	5	DAVID VASCONCELOS FUGGI CARDOSO		2023-02-07T00:00:00Z	ATIVA	AVENIDA SAO PAULO	473	PAULICEIA	PIRACICABA	SP	4637106 - Comercio atacadista de sorvetes	false	v3
39235036000351	39235036	3	MANUELLA & MAITE COMERCIO DE SORVETES LTDA		2021-05-24T00:00:00Z	ATIVA	AVENIDA TRINTA E UM DE MARCO	707	PAULICEIA	PIRACICABA	SP	4637106 - Comercio atacadista de sorvetes	false	v3
44378664000164	44378664	1	SORVETERIA E ACAI PINGUIM LTDA		2021-11-25T00:00:00Z	ATIVA	AVENIDA RAPOSO TAVARES	1008	PAULICEIA	PIRACICABA	SP	5611203 - Lanchonetes, casas de cha, de sucos e similares	false	v3
56305298000100	56305298	1	COCO IMPERIAL LTDA	COCO IMPERIAL	2024-08-06T00:00:00Z	ATIVA	RUA SANTO TREVISAN	47	VILA SONIA	PIRACICABA	SP	1099604 - Fabricacao de gelo comum	false	v3
32991187000129	32991187	1	STAB COZINHA LTDA	STAB - SORVETERIA TRADICIONAL ARTESANAL BRASILEIRA	2019-03-11T00:00:00Z	ATIVA	AVENIDA DOUTOR JOAO TEODORO	595	VILA REZENDE	PIRACICABA	SP	1053800 - Fabricacao de sorvetes e outros gelados comestiveis	false	v3
12022193000675	12022193	6	DAVID VASCONCELOS FUGGI CARDOSO		2023-10-04T00:00:00Z	ATIVA	AVENIDA LARANJAL PAULISTA	1900	CAMPESTRE	PIRACICABA	SP	4637106 - Comercio atacadista de sorvetes	false	v3
16432739000102	16432739	1	MARIA ANTONIA OLIVEIRA GOMES		2012-03-21T00:00:00Z	ATIVA	RUA LISBOA	240	PARQUE ORLANDA I	PIRACICABA	SP	1053800 - Fabricacao de sorvetes e outros gelados comestiveis	false	v3
11440714000137	11440714	1	ISPIRA SORVETES LTDA	ISPIRA SORVETES	2009-11-26T00:00:00Z	ATIVA	RUA SANTA CATARINA	2276	AGUA BRANCA	PIRACICABA	SP	4637106 - Comercio atacadista de sorvetes	false	v3
48111725000183	48111725	1	B&D COMERCIO DE SORVETES E GELATOS LTDA	MILK PLACE	2022-09-28T00:00:00Z	ATIVA	AVENIDA DOIS CORREGOS	1151	PIRACICAMIRIM	PIRACICABA	SP	1053800 - Fabricacao de sorvetes e outros gelados comestiveis	false	v3
51397905000188	51397905	1	GELADOS NASCIMENTO LTDA		2023-07-12T00:00:00Z	ATIVA	RUA JOAO BOTTENE	601	VILA MONTEIRO	PIRACICABA	SP	4637106 - Comercio atacadista de sorvetes	false	v3
55731509000104	55731509	1	SORVETERIA RAIOS DE SOL LTDA	SORVETERIA RAIOS DE SOL	1986-05-15T00:00:00Z	ATIVA	RUA JUSTO MORETI	142	ALGODOAL	PIRACICABA	SP	1053800 - Fabricacao de sorvetes e outros gelados comestiveis	false	v3
52849995000163	52849995	1	M & M COMERCIO DE GELADOS COMESTIVEIS LTDA	B . BERRY	2023-11-10T00:00:00Z	ATIVA	RUA SANTA HELENA	410	PAULICEIA	PIRACICABA	SP	4637199 - Comercio atacadista especializado em outros produtos alimenticios nao especificados anteriormente	false	v3
